HTTPS,119.110.65.18,8080
HTTPS,89.218.160.2,9090
HTTPS,118.99.80.109,8080
HTTPS,177.135.96.178,3128
HTTPS,177.69.195.4,3128
HTTPS,202.166.80.105,3128
HTTPS,186.233.92.210,3128
HTTPS,200.24.117.245,3128
HTTPS,202.29.216.236,3128
HTTPS,110.77.250.140,8080
HTTPS,200.143.148.254,8080
HTTPS,222.124.15.123,8080
HTTPS,222.124.35.117,8080
HTTPS,212.154.188.26,3128
HTTPS,92.115.165.10,8080
HTTPS,200.213.4.4,8080
HTTPS,110.77.250.94,8080
HTTPS,42.117.1.77,3128
HTTPS,200.21.21.155,3128
HTTPS,121.52.144.245,80
HTTPS,66.35.68.146,3128
HTTPS,173.213.96.229,3128
HTTPS,89.218.0.26,9090
HTTPS,89.144.131.107,8080
HTTPS,213.244.81.245,8080
HTTPS,178.208.255.123,3128
HTTPS,79.140.98.219,3128
HTTPS,91.121.58.235,3128
HTTPS,2.135.237.98,9090
HTTPS,177.8.1.238,3128
HTTPS,189.3.5.226,8080
HTTPS,186.215.126.175,3128
HTTPS,187.28.202.22,3128
HTTPS,2.135.238.10,9090
HTTPS,41.89.130.4,3128
HTTPS,89.32.229.230,3128
HTTPS,2.135.237.66,9090
HTTPS,200.150.66.226,3128
HTTPS,89.218.101.114,9090
HTTPS,202.52.240.15,8080
HTTPS,49.212.129.130,3128
HTTPS,41.78.77.122,3128
HTTPS,89.28.101.245,3128
HTTPS,2.133.92.90,9090
HTTPS,212.12.6.122,3128
HTTPS,186.147.239.150,3128
HTTPS,89.218.160.18,9090
HTTPS,222.124.130.202,8080
HTTPS,118.99.71.209,8080
HTTPS,118.99.71.209,3128
